indice_test,indice_original,etiqueta_real,decision_ensamble,ensamble_correcto,ind_correctos_de,tipo_discrepancia,texto_muestra,pred_ComplementNB,pred_LogisticRegression,pred_LinearSVM
3,7088,media,media,True,2/3,1-2 (alta-media),,alta,media,media
8,381,media,media,True,2/3,1-2 (alta-media),,alta,media,media
17,12961,media,media,True,2/3,1-2 (alta-media),,alta,media,media
21,7636,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
30,17726,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
31,15767,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
33,8844,media,media,True,2/3,1-2 (alta-media),,media,alta,media
34,10980,media,media,True,1/3,2-1 (alta-media),,alta,alta,media
43,13829,media,media,True,2/3,1-2 (alta-media),,alta,media,media
46,18733,media,media,True,1/3,2-1 (alta-media),,alta,alta,media
52,5066,media,media,True,2/3,1-2 (alta-media),,alta,media,media
53,5883,media,media,True,2/3,1-2 (alta-media),,media,alta,media
58,3080,media,media,True,2/3,1-2 (alta-media),,alta,media,media
63,9492,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
66,17602,media,media,True,1/3,2-1 (alta-media),,alta,alta,media
68,14895,media,media,True,2/3,1-2 (alta-media),,media,alta,media
69,11604,media,media,True,2/3,1-2 (alta-media),,alta,media,media
70,3162,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
71,15825,media,media,True,2/3,1-2 (alta-media),,alta,media,media
72,13928,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
74,12074,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
76,10001,media,media,True,2/3,1-2 (alta-media),,media,alta,media
79,3551,media,media,True,2/3,1-2 (alta-media),,alta,media,media
82,3066,media,media,True,2/3,1-2 (alta-media),,alta,media,media
87,15089,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
88,8582,media,media,True,2/3,1-2 (alta-media),,alta,media,media
93,14668,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
95,5962,media,media,True,2/3,1-2 (alta-media),,alta,media,media
96,5833,media,media,True,2/3,1-2 (alta-media),,alta,media,media
97,10228,media,media,True,2/3,1-2 (alta-media),,alta,media,media
102,11832,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
111,9784,media,media,True,2/3,1-2 (alta-media),,alta,media,media
115,14984,media,alta,False,1/3,2-1 (alta-media),,alta,media,alta
118,6752,media,media,True,2/3,1-2 (alta-media),,alta,media,media
122,6524,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
123,16018,media,media,True,2/3,1-2 (alta-media),,alta,media,media
124,12034,media,media,True,2/3,1-2 (alta-media),,alta,media,media
126,6791,media,media,True,2/3,1-2 (alta-media),,alta,media,media
130,13350,media,media,True,2/3,1-2 (alta-media),,alta,media,media
138,3521,media,media,True,2/3,1-2 (alta-media),,alta,media,media
141,8126,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
144,11767,media,media,True,2/3,1-2 (alta-media),,media,alta,media
149,1119,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
152,6814,media,media,True,2/3,1-2 (alta-media),,media,alta,media
153,15503,media,media,True,2/3,1-2 (alta-media),,alta,media,media
159,3237,media,media,True,2/3,1-2 (alta-media),,alta,media,media
160,14533,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
161,127,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
162,6373,media,media,True,2/3,1-2 (alta-media),,alta,media,media
163,14626,media,media,True,2/3,1-2 (alta-media),,alta,media,media
166,13588,media,media,True,2/3,1-2 (alta-media),,alta,media,media
167,12233,media,media,True,2/3,1-2 (alta-media),,alta,media,media
176,17943,media,media,True,2/3,1-2 (alta-media),,alta,media,media
180,5161,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
181,12355,alta,alta,True,1/3,1-2 (alta-media),,media,alta,media
185,12062,media,media,True,2/3,1-2 (alta-media),,alta,media,media
193,9501,media,media,True,2/3,1-2 (alta-media),,alta,media,media
195,7774,media,media,True,2/3,1-2 (alta-media),,alta,media,media
196,5732,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
197,16660,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
200,9955,media,media,True,2/3,1-2 (alta-media),,alta,media,media
204,8697,alta,media,False,2/3,2-1 (alta-media),,alta,alta,media
207,15747,media,media,True,2/3,1-2 (alta-media),,media,alta,media
208,5317,media,media,True,2/3,1-2 (alta-media),,media,alta,media
209,4136,media,media,True,2/3,1-2 (alta-media),,alta,media,media
214,15214,media,media,True,2/3,1-2 (alta-media),,alta,media,media
216,4129,media,media,True,2/3,1-2 (alta-media),,media,alta,media
217,9013,media,media,True,2/3,1-2 (alta-media),,alta,media,media
218,13921,media,media,True,2/3,1-2 (alta-media),,media,alta,media
221,10386,media,media,True,2/3,1-2 (alta-media),,alta,media,media
224,7522,media,media,True,2/3,1-2 (alta-media),,alta,media,media
231,882,media,media,True,2/3,1-2 (alta-media),,alta,media,media
234,11146,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
235,16970,media,media,True,2/3,1-2 (alta-media),,alta,media,media
238,9938,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
246,1471,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
247,18390,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
250,17069,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
252,10564,media,media,True,2/3,1-2 (alta-media),,alta,media,media
261,5158,media,media,True,2/3,1-2 (alta-media),,alta,media,media
264,18816,media,media,True,2/3,1-2 (alta-media),,alta,media,media
266,9439,media,media,True,2/3,1-2 (alta-media),,alta,media,media
284,7019,media,media,True,2/3,1-2 (alta-media),,alta,media,media
291,10813,media,media,True,2/3,1-2 (alta-media),,alta,media,media
304,7688,media,media,True,2/3,1-2 (alta-media),,alta,media,media
305,18248,media,media,True,2/3,1-2 (alta-media),,alta,media,media
306,2778,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
308,10785,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
312,499,media,media,True,2/3,1-2 (alta-media),,alta,media,media
318,8215,media,alta,False,2/3,1-2 (alta-media),,media,alta,media
324,5130,media,media,True,2/3,1-2 (alta-media),,media,alta,media
326,8386,media,media,True,2/3,1-2 (alta-media),,alta,media,media
332,953,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
336,13315,media,media,True,2/3,1-2 (alta-media),,alta,media,media
339,2351,media,media,True,2/3,1-2 (alta-media),,alta,media,media
340,622,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
344,14978,media,media,True,2/3,1-2 (alta-media),,alta,media,media
345,1341,media,media,True,2/3,1-2 (alta-media),,alta,media,media
349,14359,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
351,9606,media,media,True,2/3,1-2 (alta-media),,media,alta,media
356,1343,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
361,4801,media,media,True,2/3,1-2 (alta-media),,alta,media,media
362,1968,media,media,True,2/3,1-2 (alta-media),,alta,media,media
364,1776,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
373,390,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
375,415,media,media,True,2/3,1-2 (alta-media),,alta,media,media
386,9580,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
387,8881,media,media,True,2/3,1-2 (alta-media),,alta,media,media
388,13236,media,media,True,2/3,1-2 (alta-media),,alta,media,media
390,14971,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
391,5570,media,media,True,2/3,1-2 (alta-media),,alta,media,media
397,12518,media,media,True,2/3,1-2 (alta-media),,media,alta,media
398,18294,media,media,True,2/3,1-2 (alta-media),,alta,media,media
401,15951,media,media,True,2/3,1-2 (alta-media),,alta,media,media
404,9095,media,media,True,2/3,1-2 (alta-media),,media,alta,media
414,9086,media,media,True,2/3,1-2 (alta-media),,alta,media,media
416,18459,media,media,True,2/3,1-2 (alta-media),,alta,media,media
419,12745,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
422,4251,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
423,14478,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
424,11927,media,media,True,2/3,1-2 (alta-media),,alta,media,media
425,11505,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
429,115,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
438,908,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
439,1461,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
447,2801,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
450,5541,media,media,True,2/3,1-2 (alta-media),,alta,media,media
456,16557,media,media,True,2/3,1-2 (alta-media),,alta,media,media
459,6771,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
464,90,media,media,True,2/3,1-2 (alta-media),,alta,media,media
466,17986,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
468,18879,media,media,True,2/3,1-2 (alta-media),,alta,media,media
470,10971,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
473,4545,media,media,True,2/3,1-2 (alta-media),,alta,media,media
477,2585,media,media,True,2/3,1-2 (alta-media),,media,alta,media
482,6653,media,media,True,2/3,1-2 (alta-media),,alta,media,media
488,5751,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
489,17883,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
508,13507,media,media,True,2/3,1-2 (alta-media),,alta,media,media
512,1788,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
513,15513,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
519,6378,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
521,12919,media,media,True,2/3,1-2 (alta-media),,alta,media,media
522,5125,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
524,1305,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
532,17404,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
535,6699,media,media,True,2/3,1-2 (alta-media),,media,alta,media
536,5452,media,media,True,2/3,1-2 (alta-media),,media,alta,media
537,17399,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
542,4698,media,media,True,2/3,1-2 (alta-media),,alta,media,media
544,1589,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
545,14684,media,media,True,2/3,1-2 (alta-media),,media,alta,media
548,12051,media,media,True,2/3,1-2 (alta-media),,alta,media,media
552,13404,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
556,6687,media,media,True,2/3,1-2 (alta-media),,alta,media,media
565,18044,media,media,True,2/3,1-2 (alta-media),,alta,media,media
568,9180,media,alta,False,2/3,1-2 (alta-media),,alta,media,media
571,12977,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
576,9731,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
579,5946,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
581,15511,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
587,13583,media,media,True,2/3,1-2 (alta-media),,alta,media,media
592,11178,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
593,4003,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
594,9015,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
597,2649,media,media,True,2/3,1-2 (alta-media),,media,alta,media
626,4485,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
630,1262,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
631,5563,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
633,2182,media,media,True,2/3,1-2 (alta-media),,alta,media,media
637,10423,media,media,True,2/3,1-2 (alta-media),,alta,media,media
638,2269,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
639,18444,media,media,True,2/3,1-2 (alta-media),,media,alta,media
645,12345,media,media,True,2/3,1-2 (alta-media),,media,alta,media
648,3932,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
662,2650,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
663,12644,media,media,True,2/3,1-2 (alta-media),,alta,media,media
665,5488,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
669,15986,media,media,True,2/3,1-2 (alta-media),,alta,media,media
684,5826,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
686,9222,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
687,13774,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
697,11995,media,media,True,2/3,1-2 (alta-media),,alta,media,media
699,16154,media,media,True,2/3,1-2 (alta-media),,alta,media,media
700,4035,media,media,True,2/3,1-2 (alta-media),,alta,media,media
704,2347,media,media,True,2/3,1-2 (alta-media),,alta,media,media
705,6844,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
709,1533,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
715,7913,media,alta,False,2/3,1-2 (alta-media),,alta,media,media
723,773,media,media,True,2/3,1-2 (alta-media),,alta,media,media
724,8070,media,media,True,2/3,1-2 (alta-media),,alta,media,media
726,544,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
728,17250,media,media,True,2/3,1-2 (alta-media),,media,alta,media
729,15950,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
731,13998,media,media,True,2/3,1-2 (alta-media),,alta,media,media
734,12501,media,media,True,2/3,1-2 (alta-media),,alta,media,media
740,4644,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
744,16914,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
745,46,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
755,671,media,media,True,2/3,1-2 (alta-media),,alta,media,media
758,11044,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
760,18151,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
764,3676,media,media,True,2/3,1-2 (alta-media),,alta,media,media
766,11992,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
771,1887,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
775,4540,media,media,True,2/3,1-2 (alta-media),,alta,media,media
779,7247,media,media,True,2/3,1-2 (alta-media),,alta,media,media
782,17624,media,alta,False,2/3,1-2 (alta-media),,media,alta,media
784,767,media,media,True,2/3,1-2 (alta-media),,alta,media,media
796,5750,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
797,9939,media,media,True,2/3,1-2 (alta-media),,alta,media,media
801,12572,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
802,8108,alta,media,False,1/3,1-2 (alta-media),,media,alta,media
805,2213,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
806,12376,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
809,16477,media,media,True,2/3,1-2 (alta-media),,alta,media,media
818,8855,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
825,10731,media,media,True,2/3,1-2 (alta-media),,alta,media,media
833,14062,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
835,11253,media,media,True,2/3,1-2 (alta-media),,media,alta,media
836,14956,media,media,True,2/3,1-2 (alta-media),,alta,media,media
845,6039,media,media,True,2/3,1-2 (alta-media),,alta,media,media
850,1364,media,media,True,2/3,1-2 (alta-media),,alta,media,media
854,6931,media,media,True,2/3,1-2 (alta-media),,alta,media,media
856,15671,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
858,17100,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
862,3448,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
866,38,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
868,13365,media,media,True,2/3,1-2 (alta-media),,alta,media,media
873,8235,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
878,18190,alta,media,False,1/3,1-2 (alta-media),,alta,media,media
879,3533,media,media,True,2/3,1-2 (alta-media),,alta,media,media
881,75,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
883,17443,media,media,True,2/3,1-2 (alta-media),,alta,media,media
884,6111,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
890,18811,media,media,True,2/3,1-2 (alta-media),,alta,media,media
894,2113,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
900,7877,media,alta,False,2/3,1-2 (alta-media),,media,alta,media
905,7345,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
907,6411,media,media,True,2/3,1-2 (alta-media),,alta,media,media
908,10421,media,media,True,2/3,1-2 (alta-media),,alta,media,media
909,9725,media,media,True,2/3,1-2 (alta-media),,alta,media,media
910,10366,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
911,717,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
914,13245,media,media,True,2/3,1-2 (alta-media),,alta,media,media
915,7391,media,alta,False,1/3,2-1 (alta-media),,alta,alta,media
920,5519,media,media,True,2/3,1-2 (alta-media),,media,alta,media
936,3086,alta,alta,True,1/3,1-2 (alta-media),,media,alta,media
937,5905,media,media,True,2/3,1-2 (alta-media),,alta,media,media
938,18719,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
939,5875,media,alta,False,1/3,2-1 (alta-media),,media,alta,alta
941,10792,alta,alta,True,2/3,2-1 (alta-media),,alta,alta,media
947,15975,alta,alta,True,2/3,2-1 (alta-media),,media,alta,alta
